42
34 41 0 0
54 90 0 0
69 109 0 0
117 124 0 0
147 100 0 0
161 70 0 0
112 181 1 0
112 161 1 0
162 117 1 0
217 153 1 0
220 296 1 0
168 338 1 0
122 298 1 0
87 254 1 0
238 395 2 0
240 359 2 0
288 341 2 0
316 396 2 0
308 451 2 0
242 456 2 0
220 441 2 0
362 429 3 0
362 401 3 0
357 335 3 0
348 283 3 0
346 261 3 0
346 218 3 0
344 169 3 0
346 130 3 0
356 111 3 0
362 109 3 0
369 154 3 0
369 179 3 0
369 244 3 0
385 310 3 0
407 386 3 0
407 386 3 0
407 493 3 0
377 495 3 0
354 479 3 0
349 456 3 0
347 446 3 0
